content,score,thumbsUpCount
"Saldo saya memang tak pernah banyak, tapi mohon jika ada biaya² ditampilkan di kolom detail pengeluaran. Karena waktu saldo terakhir yg saya lihat sekian rupiah, besoknya berkurang jadi sekian rupiah. Meskipun kecil dan saya paham itu untuk biaya², tapi tidak ada keterangan di kolom delail pengeluaran. Di aplikasi lain yang saya pakai tertulis dana untuk biaya² apanya. Mohon perhatiannya. Terima kasih",2,21
"terlalu bnyk update aplikasi, lalu saat saya ingin transfer dan sudah memasukan pin tetao loading lama sekali padahal jaringan dan kuota aman. tidak ada notif apakah transaksi tersebut batal atau tetap terkirim.",2,30
"mau daftar udah di tahap scan ktp kok loadingnya lama banget ya itu bug atau bagaimana?. tombol lanjutkan sudah muncul tetapi tidak diarahkan ke tahap selanjutnya, sudah 10x saya coba tetap tidak bisa. kalau memang ada kesalahan minimal kasih notif kek.",1,2
"aplikasi parah, bank nya juga parah,, di buka lemot, gambar ancur ancur, gak kaya dulu lancar,, bank nya juga gak bisa bantu, dapet transferan tapi uang ga masuk masuk,, yg parahnya lagi uang suka berkurang, klau sekali si gpp, ini sebulan 4x potongan, ilang sendiri ,, kacau",1,1
Setelah update malah gak bisa dibuka... Muncul nonaktifkan aksesibilitas... Padahal sudah nonaktif tpi tetap tidak bisa dibuka... Lama-lama banyak yang beralih... Pdhl dikantor cs selalu menyarankan instal aplikasi brimo... Menyusahkan,2,7
"Aplikasinya sering crash, please fix it! Sudah di email dan dapat balasan tidak solutif dari BRI. Saya komplain karena memang aplikasinya sering force close malah jawabannya aplikasinya tidak ada masalah, yang masalah di hp saya. Saya beritahu lagi ya, sebelum aplikasi ini diupdate tidak ada masalah sebelumnya dan saya gaada pasang aplikasi aplikasi mod segala macam. Setelah di update ke versi baru malah force close. Kerja woi BRI kerja!",1,2
"Aplikasinya bagus tapi agak mengecewakan sekali karena setiap beli kuota atau pula selalu tidak berhasil saya sudah mencoba berulang kali tapi tetep gagal, dan saya sebagai mengguna BRImo amat amat kecewa sekali padahal itu saya beli kuota dalam keadaan penting tapi saya beli di aplikasi BRImo setiap proses selalu gagal padahal koneksi bagus dan hp lancar lancar aja, saya sungguh kecewa dengan aplikasi BRImo amat amat kecewa berat",3,6
"Update terlalu sering. Hari ini minta update 2 kali. Setiap update gabisa dibuka aplikasinya, loading aplikasi lama banget, padahal kuota dan sinyal ada. Tolong perbaikin biar penggunaan brimo lebih nyaman, updatenya jangan terlalu sering, masa 1 hari 2 kali update.",3,25
"Update terbaru untuk android 14 terdapat bug, aplikasi selalu keluar sendiri, sudah coba berbagai cara mulai dri install ulang masih tetap tidak bisa, mohon agar segera diperbaiki atau perlu diupdate lagi dengan mengatasi bug ini",1,12
"Aplikasi brimo apakah sedang bermasalah? selalu muncul perintah update. setelah sy update, tetap saja saya tdk bisa transaksi. sy sdh DM ke IG bankbri, tapi blm ada respon. Bintangnya cukup 3 dulu, ... krn ini mengganggu kenyamanan nasabah yang mau melakukan transaksi",3,1
"mutasinya lama banget. diubah nanti kalo bisa lebih cepat. (mutasi sudah mendingan lebih cepat, mohon di pertahankan jika bisa di percepat tanpa perlu relog sudah muncul di mutasi. terimakasih)",5,1
"aplikasi brimo setelah update kok malah keluar dengan sendiri nya,mohon bantuannya kak soal nya penting banget rekening utama ,buka pake device iPhone tetep sama, setelah log out di device android ,agak kecewa dengan brimo,semoga kedepan nya segera di fix penyebab fc nya terima kasih",1,11
"tolong banget bri diperbaiki bagian kalau belum update ngk bisa ke buka aplikasinya, kesel banget aplikasinya nggak bisa dibuka (karena disuruh update) sedangkan memori HP saya penuh padahal lagi butuh aplikasinya, kalau keterusan jadi ngk suka make bri😢",1,1
sebelum update aman aja.. tapi lama2 harus dipaksa update.setelah di update ketika mau login malah aplikasinya keluar sendiri. di ulang beberapa kali masih sama. direstar hp masih sama di ulang download lagi tetap sama. tolong di perbaiki lagi aplikasinya . terima kasih..,1,3
"Mengapa saat saya ingin login brimo di device yang baru selalu tidak bisa, padahal nomor yang digunakan sudah sesuai. Apakah ini karena servernya sedang bermasalah atau bagaimana. Saya harap pihak pengembang bisa memperbaiki masalah ini, karena sangat merepotkan pengguna. Terima kasih.",5,356
Kalau transfer itu lama banget. Loading nya seribu satu milyar abad. Inimah kalo ditunggu sampe saya jadi artefak. Lama banget. Malah gabisa buat TF. Padahal jaringan bagus. Lancar. Jaya. Makmur. Tapi sistem apk BRIMO nya yang susah banget buat TF. Luamaaa banget. Loading mulu. Tolong kendala ini supaya diatasi biar ga loading lama. Biar saya ga jadi artefak karna nungguin loading mulu. Trimakasih.,1,24
"Di update malah force close, gak bisa log in karena aplikasinya nutup sendiri, versi sebelumnya lancar saja padahal, clear chace sudah, reinstall jg sudah,keterangan device jg masih kompatibel, tapi tetap force close",3,1
mohon maaf sebelumnya ini kok BRIMO nya di buka 6 detik tiba tiba ngeblank ya logo dan tulisan nya semua hilang yg tersisa (hanya lah air mata eh) warna biru putih doang tolong lah di perbaiki mau di uninstall baru donlod ulang tapi pw nya lupa🥲,1,5
"minta tolong kpd BRI, utk aplikasi BRimo diperbaiki biar nggak mengecewakan Nasabah. Makin lama tambah ngacau aja. sdh minta update terus.. tp nggak ada perubahan, mau di buka aplikasi keluar sendiri , terus namanya aplikasi apa kayak gini, bikin kecewa Nasabah aja ini.",1,1
